order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country
10.248,VINET,5,1996-07-04T00:00:00.000Z,1996-08-01T00:00:00.000Z,1996-07-16T00:00:00.000Z,3,"32,38000107",Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10.249,TOMSP,6,1996-07-05T00:00:00.000Z,1996-08-16T00:00:00.000Z,1996-07-10T00:00:00.000Z,1,"11,60999966",Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany
10.25,HANAR,4,1996-07-08T00:00:00.000Z,1996-08-05T00:00:00.000Z,1996-07-12T00:00:00.000Z,2,"65,83000183",Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10.251,VICTE,3,1996-07-08T00:00:00.000Z,1996-08-05T00:00:00.000Z,1996-07-15T00:00:00.000Z,1,"41,34000015",Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France
10.252,SUPRD,4,1996-07-09T00:00:00.000Z,1996-08-06T00:00:00.000Z,1996-07-11T00:00:00.000Z,2,"51,29999924",Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium
10.253,HANAR,3,1996-07-10T00:00:00.000Z,1996-07-24T00:00:00.000Z,1996-07-16T00:00:00.000Z,2,"58,16999817",Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10.254,CHOPS,5,1996-07-11T00:00:00.000Z,1996-08-08T00:00:00.000Z,1996-07-23T00:00:00.000Z,2,"22,97999954",Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
10.255,RICSU,9,1996-07-12T00:00:00.000Z,1996-08-09T00:00:00.000Z,1996-07-15T00:00:00.000Z,3,"148,33000183",Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland
10.256,WELLI,3,1996-07-15T00:00:00.000Z,1996-08-12T00:00:00.000Z,1996-07-17T00:00:00.000Z,2,"13,97000027",Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
10.257,HILAA,4,1996-07-16T00:00:00.000Z,1996-08-13T00:00:00.000Z,1996-07-22T00:00:00.000Z,3,"81,91000366",HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10.258,ERNSH,1,1996-07-17T00:00:00.000Z,1996-08-14T00:00:00.000Z,1996-07-23T00:00:00.000Z,1,"140,50999451",Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10.259,CENTC,4,1996-07-18T00:00:00.000Z,1996-08-15T00:00:00.000Z,1996-07-25T00:00:00.000Z,3,"3,25",Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,5022,Mexico
10.26,OTTIK,4,1996-07-19T00:00:00.000Z,1996-08-16T00:00:00.000Z,1996-07-29T00:00:00.000Z,1,"55,09000015",Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
10.261,QUEDE,4,1996-07-19T00:00:00.000Z,1996-08-16T00:00:00.000Z,1996-07-30T00:00:00.000Z,2,"3,04999995",Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10.262,RATTC,8,1996-07-22T00:00:00.000Z,1996-08-19T00:00:00.000Z,1996-07-25T00:00:00.000Z,3,"48,29000092",Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10.263,ERNSH,9,1996-07-23T00:00:00.000Z,1996-08-20T00:00:00.000Z,1996-07-31T00:00:00.000Z,3,"146,05999756",Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10.264,FOLKO,6,1996-07-24T00:00:00.000Z,1996-08-21T00:00:00.000Z,1996-08-23T00:00:00.000Z,3,"3,67000008",Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10.265,BLONP,2,1996-07-25T00:00:00.000Z,1996-08-22T00:00:00.000Z,1996-08-12T00:00:00.000Z,1,"55,27999878",Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
10.266,WARTH,3,1996-07-26T00:00:00.000Z,1996-09-06T00:00:00.000Z,1996-07-31T00:00:00.000Z,3,"25,72999954",Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10.267,FRANK,4,1996-07-29T00:00:00.000Z,1996-08-26T00:00:00.000Z,1996-08-06T00:00:00.000Z,1,"208,58000183",Frankenversand,Berliner Platz 43,München,,80805,Germany
10.268,GROSR,8,1996-07-30T00:00:00.000Z,1996-08-27T00:00:00.000Z,1996-08-02T00:00:00.000Z,3,"66,29000092",GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10.269,WHITC,5,1996-07-31T00:00:00.000Z,1996-08-14T00:00:00.000Z,1996-08-09T00:00:00.000Z,1,"4,55999994",White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10.27,WARTH,1,1996-08-01T00:00:00.000Z,1996-08-29T00:00:00.000Z,1996-08-02T00:00:00.000Z,1,"136,53999329",Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10.271,SPLIR,6,1996-08-01T00:00:00.000Z,1996-08-29T00:00:00.000Z,1996-08-30T00:00:00.000Z,2,"4,53999996",Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10.272,RATTC,6,1996-08-02T00:00:00.000Z,1996-08-30T00:00:00.000Z,1996-08-06T00:00:00.000Z,2,"98,02999878",Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10.273,QUICK,3,1996-08-05T00:00:00.000Z,1996-09-02T00:00:00.000Z,1996-08-12T00:00:00.000Z,3,"76,06999969",QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany
10.274,VINET,6,1996-08-06T00:00:00.000Z,1996-09-03T00:00:00.000Z,1996-08-16T00:00:00.000Z,1,"6,01000023",Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10.275,MAGAA,1,1996-08-07T00:00:00.000Z,1996-09-04T00:00:00.000Z,1996-08-09T00:00:00.000Z,1,"26,93000031",Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
10.276,TORTU,8,1996-08-08T00:00:00.000Z,1996-08-22T00:00:00.000Z,1996-08-14T00:00:00.000Z,3,"13,84000015",Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico
10.277,MORGK,2,1996-08-09T00:00:00.000Z,1996-09-06T00:00:00.000Z,1996-08-13T00:00:00.000Z,3,"125,76999664",Morgenstern Gesundkost,Heerstr. 22,Leipzig,,4179,Germany
10.278,BERGS,8,1996-08-12T00:00:00.000Z,1996-09-09T00:00:00.000Z,1996-08-16T00:00:00.000Z,2,"92,69000244",Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10.279,LEHMS,8,1996-08-13T00:00:00.000Z,1996-09-10T00:00:00.000Z,1996-08-16T00:00:00.000Z,2,"25,82999992",Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10.28,BERGS,2,1996-08-14T00:00:00.000Z,1996-09-11T00:00:00.000Z,1996-09-12T00:00:00.000Z,1,"8,97999954",Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10.281,ROMEY,4,1996-08-14T00:00:00.000Z,1996-08-28T00:00:00.000Z,1996-08-21T00:00:00.000Z,1,"2,94000006",Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
10.282,ROMEY,4,1996-08-15T00:00:00.000Z,1996-09-12T00:00:00.000Z,1996-08-21T00:00:00.000Z,1,"12,68999958",Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
10.283,LILAS,3,1996-08-16T00:00:00.000Z,1996-09-13T00:00:00.000Z,1996-08-23T00:00:00.000Z,3,"84,80999756",LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10.284,LEHMS,4,1996-08-19T00:00:00.000Z,1996-09-16T00:00:00.000Z,1996-08-27T00:00:00.000Z,1,"76,55999756",Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10.285,QUICK,1,1996-08-20T00:00:00.000Z,1996-09-17T00:00:00.000Z,1996-08-26T00:00:00.000Z,2,"76,83000183",QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany
10.286,QUICK,8,1996-08-21T00:00:00.000Z,1996-09-18T00:00:00.000Z,1996-08-30T00:00:00.000Z,3,"229,24000549",QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany
10.287,RICAR,8,1996-08-22T00:00:00.000Z,1996-09-19T00:00:00.000Z,1996-08-28T00:00:00.000Z,3,"12,76000023",Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10.288,REGGC,4,1996-08-23T00:00:00.000Z,1996-09-20T00:00:00.000Z,1996-09-03T00:00:00.000Z,1,"7,44999981",Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy
10.289,BSBEV,7,1996-08-26T00:00:00.000Z,1996-09-23T00:00:00.000Z,1996-08-28T00:00:00.000Z,3,"22,77000046",B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK
10.29,COMMI,8,1996-08-27T00:00:00.000Z,1996-09-24T00:00:00.000Z,1996-09-03T00:00:00.000Z,1,"79,69999695",Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil
10.291,QUEDE,6,1996-08-27T00:00:00.000Z,1996-09-24T00:00:00.000Z,1996-09-04T00:00:00.000Z,2,"6,4000001",Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10.292,TRADH,1,1996-08-28T00:00:00.000Z,1996-09-25T00:00:00.000Z,1996-09-02T00:00:00.000Z,2,"1,35000002",Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil
10.293,TORTU,1,1996-08-29T00:00:00.000Z,1996-09-26T00:00:00.000Z,1996-09-11T00:00:00.000Z,3,"21,18000031",Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico
10.294,RATTC,4,1996-08-30T00:00:00.000Z,1996-09-27T00:00:00.000Z,1996-09-05T00:00:00.000Z,2,"147,25999451",Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10.295,VINET,2,1996-09-02T00:00:00.000Z,1996-09-30T00:00:00.000Z,1996-09-10T00:00:00.000Z,2,"1,14999998",Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10.296,LILAS,6,1996-09-03T00:00:00.000Z,1996-10-01T00:00:00.000Z,1996-09-11T00:00:00.000Z,1,"0,12",LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10.297,BLONP,5,1996-09-04T00:00:00.000Z,1996-10-16T00:00:00.000Z,1996-09-10T00:00:00.000Z,2,"5,73999977",Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
10.298,HUNGO,6,1996-09-05T00:00:00.000Z,1996-10-03T00:00:00.000Z,1996-09-11T00:00:00.000Z,2,"168,22000122",Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10.299,RICAR,4,1996-09-06T00:00:00.000Z,1996-10-04T00:00:00.000Z,1996-09-13T00:00:00.000Z,2,"29,76000023",Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10.3,MAGAA,2,1996-09-09T00:00:00.000Z,1996-10-07T00:00:00.000Z,1996-09-18T00:00:00.000Z,2,"17,68000031",Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
